RadarID[0],RadarID[1],Type,ApproximateDistance,Fixed
102101501,102101502,0,,FALSE
102101502,102101601,1,,FALSE
102101601,102101602,0,,FALSE
102101602,102101701,1,,FALSE
102101701,102101702,0,,FALSE
102101702,102101801,1,,FALSE
102101801,102101802,0,,FALSE
102101802,102101901,1,,FALSE
102101901,102101902,0,,FALSE
102101902,102102001,1,,FALSE
102102001,102102002,0,,FALSE
102102002,102102101,1,,FALSE
102102101,102102102,0,,FALSE
102102102,102102201,2,,FALSE
102102201,102102301,2,,FALSE
102102301,102102401,2,,FALSE
102102401,102102501,2,,FALSE
102102501,102102601,2,,FALSE
102102601,102102701,1,,FALSE
102102701,102102702,0,,FALSE
102102702,102102801,1,,FALSE
102102801,102102802,0,,FALSE
102100101,102100102,0,,FALSE
102100102,102100201,1,,FALSE
102100201,102100202,0,,FALSE
102100202,102100301,1,,FALSE
102100301,102100302,0,,FALSE
102100302,102100401,1,,FALSE
102100401,102100402,0,,FALSE
102100402,102100501,1,,FALSE
102100501,102100502,0,,FALSE
102100502,102100601,1,,FALSE
102100601,102100602,0,,FALSE
102100602,102100701,1,,FALSE
102100701,102100702,0,,FALSE
102100702,102100801,1,,FALSE
102100801,102100901,2,,FALSE
102100901,102101001,2,,FALSE
102101001,102101101,2,,FALSE
102101101,102101201,2,,FALSE
102101201,102101301,2,,FALSE
102101301,102101302,0,,FALSE
102101302,102101401,1,,FALSE
102101401,102101402,0,,FALSE
