device_id,group_id,ip,user_name,password,run_path,stake_mark,can0_type,can1_type,can2_type,can3_type,can0_file,can1_file,can2_file,can3_file
1,1, 10.188.68.1, root,, /mnt/r%,,,,,,,,,
4,1, 10.188.68.4, root,, /mnt/r%,,,,,,,,,
5,1, 10.188.68.5, root,, /mnt/r%,,,,,,,,,
7,1, 10.188.68.7, root,, /mnt/r%,,,,,,,,,
8,1, 10.188.68.8, root,, /mnt/r%,,,,,,,,,
10,1, 10.188.68.10, root,, /mnt/r%,,,,,,,,,
12,1, 10.188.68.12, root,, /mnt/r%,,,,,,,,,
13,1, 10.188.68.13, root,, /mnt/r%,,,,,,,,,
15,1, 10.188.68.15, root,, /mnt/r%,,,,,,,,,
17,1, 10.188.68.17, root,, /mnt/r%,,,,,,,,,
19,1, 10.188.68.19, root,, /mnt/r%,,,,,,,,,
21,1, 10.188.68.21, root,, /mnt/r%,,,,,,,,,
22,1, 10.188.68.22, root,, /mnt/r%,,,,,,,,,
23,1, 10.188.68.23, root,, /mnt/r%,,,,,,,,,
24,1, 10.188.68.24, root,, /mnt/r%,,,,,,,,,
25,1, 10.188.68.25, root,, /mnt/r%,,,,,,,,,
