device_id,group_id,ip,user_name,password,run_path,stake_mark,can0_type,can1_type,can2_type,can3_type,can0_file,can1_file,can2_file,can3_file
108,5,44.114.40.141,root,,/mnt/r%/,K58+181.0,16,0,0,17,,,,
107,1,44.114.40.27,root,,/mnt/r%/,K58+181.0,0,20,21,0,,,,
85,2,44.114.40.102,root,,/mnt/r%/,K58+426.0,0,19,18,0,,,,
84,2,44.114.40.104,root,,/mnt/r%/,K58+566.0,0,19,18,0,,,,
83,2,44.114.40.106,root,,/mnt/r%/,K58+706.0,0,18,19,0,,,,
82,2,44.114.40.108,root,,/mnt/r%/,K58+846.0,0,19,18,0,,,,
81,2,44.114.40.110,root,,/mnt/r%/,K58+988.0,0,19,18,0,,,,
80,2,44.114.40.112,root,,/mnt/r%/,K59+39.0,0,19,18,0,,,,
79,2,44.114.40.172,root,,/mnt/r%/,K59+126.0,0,19,18,0,,,,
78,2,44.114.40.174,root,,/mnt/r%/,K59+264.0,0,18,19,0,,,,
77,2,44.114.40.176,root,,/mnt/r%/,K59+363.0,0,19,18,0,,,,
76,2,44.114.40.178,root,,/mnt/r%/,K59+486.8,18,0,19,0,,,,
75,2,44.114.40.180,root,,/mnt/r%/,K59+610.6,0,19,18,0,,,,
74,2,44.114.40.182,root,,/mnt/r%/,K59+734.4,0,19,18,0,,,,
73,2,44.114.40.232,root,,/mnt/r%/,K59+858.2,0,19,18,0,,,,
72,2,44.114.40.234,root,,/mnt/r%/,K59+988.0,0,19,18,0,,,,
71,2,44.114.40.236,root,,/mnt/r%/,K60+132.0,0,19,18,0,,,,
70,2,44.114.40.238,root,,/mnt/r%/,K60+282.0,0,19,18,0,,,,
69,2,44.114.40.240,root,,/mnt/r%/,K60+425.0,0,19,18,0,,,,
68,2,44.114.40.242,root,,/mnt/r%/,K60+573.0,0,19,18,0,,,,
67,2,44.114.41.42,root,,/mnt/r%/,K60+719.2,0,19,18,0,,,,
66,2,44.114.41.44,root,,/mnt/r%/,K60+863.2,0,19,18,0,,,,
65,2,44.114.41.46,root,,/mnt/r%/,K61+7.2,0,19,18,0,,,,
64,2,44.114.41.48,root,,/mnt/r%/,K61+145.2,0,19,18,0,,,,
63,2,44.114.41.50,root,,/mnt/r%/,K61+289.2,0,19,18,0,,,,
62,2,44.114.41.52,root,,/mnt/r%/,K61+439.2,0,19,18,0,,,,
61,2,44.114.41.112,root,,/mnt/r%/,K61+582.2,0,19,18,0,,,,
60,2,44.114.41.114,root,,/mnt/r%/,K61+730.2,0,19,18,0,,,,
59,2,44.114.41.116,root,,/mnt/r%/,K61+874.2,0,18,19,0,,,,
58,2,44.114.41.118,root,,/mnt/r%/,K62+18.2,0,19,18,0,,,,
57,2,44.114.41.120,root,,/mnt/r%/,K62+162.2,0,19,18,0,,,,
56,2,44.114.41.122,root,,/mnt/r%/,K62+300.2,0,19,18,0,,,,
55,2,44.114.41.182,root,,/mnt/r%/,K62+444.2,0,19,18,0,,,,
54,2,44.114.41.184,root,,/mnt/r%/,K62+594.2,0,19,18,0,,,,
53,2,44.114.41.186,root,,/mnt/r%/,K62+737.2,0,19,18,0,,,,
52,2,44.114.41.188,root,,/mnt/r%/,K62+885.2,0,19,18,0,,,,
51,2,44.114.41.190,root,,/mnt/r%/,K63+29.2,0,19,18,0,,,,
50,2,44.114.41.192,root,,/mnt/r%/,K63+173.2,0,19,18,0,,,,
49,2,44.114.42.3,root,,/mnt/r%/,K63+317.2,0,19,18,0,,,,
48,2,44.114.42.5,root,,/mnt/r%/,K63+455.2,0,19,18,0,,,,
47,2,44.114.42.7,root,,/mnt/r%/,K63+599.2,0,18,19,0,,,,
46,2,44.114.42.9,root,,/mnt/r%/,K63+749.2,0,19,18,0,,,,
45,2,44.114.42.11,root,,/mnt/r%/,K63+892.2,0,19,18,0,,,,
44,2,44.114.42.13,root,,/mnt/r%/,K64+39.2,0,19,18,0,,,,
43,2,44.114.42.62,root,,/mnt/r%/,K64+184.2,0,19,18,0,,,,
42,2,44.114.42.64,root,,/mnt/r%/,K64+321.2,0,19,18,0,,,,
41,2,44.114.42.66,root,,/mnt/r%/,K64+453.0,0,19,18,0,,,,
40,2,44.114.42.68,root,,/mnt/r%/,K64+567.0,0,19,18,0,,,,
38,1,44.114.46.23,root,,/mnt/r%/,K64+969.0,0,15,14,0,,,,
37,1,44.114.46.24,root,,/mnt/r%/,K65+449.0,0,15,14,0,,,,
114,1,44.114.46.25,root,,/mnt/r%/,K65+899.0,0,14,15,0,,,,
35,1,44.114.46.28,root,,/mnt/r%/,K66+434.0,0,14,15,0,,,,
111,1,44.114.46.26,root,,/mnt/r%/,K66+830,0,14,15,0,,,,
32,1,44.114.46.27,root,,/mnt/r%/,K67+339.0,0,14,15,0,,,,
39,1,44.114.46.21,root,,/mnt/r%/,K64+969.0,0,17,16,0,,,,
113,1,44.114.46.41,root,,/mnt/r%/,K65+370.0,16,17,0,0,,,,
36,1,44.114.46.61,root,,/mnt/r%/,K65+929.0,0,16,17,0,,,,
112,1,44.114.46.81,root,,/mnt/r%/,K66+229.0,0,17,16,0,,,,
33,5,44.114.46.101,root,,/mnt/r%/,K66+874.0,0,17,16,0,,,,
34,5,44.114.46.131,root,,/mnt/r%/,K67+318.0,0,17,16,0,,,,
31,1,44.114.46.151,root,,/mnt/r%/,K67+789.0,16,14,15,17,,,,
30,1,44.114.46.171,root,,/mnt/r%/,K68+279.0,16,15,14,17,,,,
29,1,44.114.46.191,root,,/mnt/r%/,K68+714.0,16,15,14,17,,,,
