device_id,group_id,ip,user_name,password,run_path,stake_mark,can0_type,can1_type,can2_type,can3_type,can0_file,can1_file,can2_file,can3_file
101,10,44.114.42.211,root,dabingkuaizi,/mnt/r%/,FK1+005,0,23,0,0,,,,
94,10,44.114.42.135,root,dabingkuaizi,/mnt/r%/,EK0+683,0,22,0,0,,,,
95,10,44.114.42.138,root,dabingkuaizi,/mnt/r%/,EK0+808,0,22,0,0,,,,
96,10,44.114.42.141,root,dabingkuaizi,/mnt/r%/,EK0+925,0,22,0,0,,,,
97,10,44.114.42.144,root,dabingkuaizi,/mnt/r%/,EK0+972,0,22,0,0,,,,
104,10,44.114.42.238,root,dabingkuaizi,/mnt/r%/,FK1+240,0,24,0,0,,,,
91,10,44.114.42.175,root,dabingkuaizi,/mnt/r%/,GK0+519,0,25,0,0,,,,
92,10,44.114.42.178,root,dabingkuaizi,/mnt/r%/,GK0+383,0,24,0,0,,,,
86,10,44.114.42.95,root,dabingkuaizi,/mnt/r%/,HK0+340,0,23,0,0,,,,
89,10,44.114.42.104,root,dabingkuaizi,/mnt/r%/,GK0+718,0,23,0,0,,,,
