device_id,group_id,ip,user_name,password,run_path,stake_mark,can0_type,can1_type,can2_type,can3_type,can0_file,can1_file,can2_file,can3_file
140,1,10.188.68.140,root,,/mnt/r%/,K455+232,0,8,0,0,,,,
141,1,10.188.68.141,root,,/mnt/r%/,K455+232,0,0,3,0,,,,
142,1,10.188.68.142,root,,/mnt/r%/,K455+430,0,8,3,0,,,,
143,1,10.188.68.143,root,,/mnt/r%/,K455+632,0,8,3,0,,,,
144,1,10.188.68.144,root,,/mnt/r%/,K455+823,0,8,3,0,,,,
145,1,10.188.68.145,root,,/mnt/r%/,K456+007,0,8,3,0,,,,
146,1,10.188.68.146,root,,/mnt/r%/,K456+206,0,8,3,0,,,,
147,1,10.188.68.147,root,,/mnt/r%/,K456+391,0,8,3,0,,,,
148,1,10.188.68.148,root,,/mnt/r%/,K456+579,0,8,3,0,,,,
149,1,10.188.68.149,root,,/mnt/r%/,K456+760,0,8,3,0,,,,
150,1,10.188.68.150,root,,/mnt/r%/,K456+930,0,8,3,0,,,,
151,1,10.188.68.151,root,,/mnt/r%/,K457+118,0,8,3,0,,,,
152,1,10.188.68.152,root,,/mnt/r%/,K457+298,0,8,3,0,,,,
153,1,10.188.68.153,root,,/mnt/r%/,K457+448,0,8,3,0,,,,
154,1,10.188.68.154,root,,/mnt/r%/,K457+648,0,8,3,0,,,,
155,1,10.188.68.155,root,,/mnt/r%/,K457+838,0,8,3,0,,,,
156,1,10.188.68.156,root,,/mnt/r%/,K457+985,0,8,3,0,,,,
157,1,10.188.68.157,root,,/mnt/r%/,K458+168,0,8,3,0,,,,
158,1,10.188.68.158,root,,/mnt/r%/,K458+365,0,8,3,0,,,,
159,1,10.188.68.159,root,,/mnt/r%/,K458+557,0,8,3,0,,,,
160,1,10.188.68.160,root,,/mnt/r%/,K458+751,0,8,3,0,,,,
161,1,10.188.68.161,root,,/mnt/r%/,K458+954,0,8,3,0,,,,
162,1,10.188.68.162,root,,/mnt/r%/,K459+132,0,8,3,0,,,,
163,1,10.188.68.163,root,,/mnt/r%/,K459+322,0,8,3,0,,,,
164,1,10.188.68.164,root,,/mnt/r%/,K459+512,0,8,3,0,,,,
165,1,10.188.68.165,root,,/mnt/r%/,K459+704,0,8,3,0,,,,
166,1,10.188.68.166,root,,/mnt/r%/,K459+898,0,8,3,0,,,,
167,1,10.188.68.167,root,,/mnt/r%/,K460+087,0,8,3,0,,,,
168,1,10.188.68.168,root,,/mnt/r%/,K460+281,0,8,3,0,,,,
169,1,10.188.68.169,root,,/mnt/r%/,K460+484,0,8,3,0,,,,
170,1,10.188.68.170,root,,/mnt/r%/,K460+619,0,8,3,0,,,,
171,1,10.188.68.171,root,,/mnt/r%/,K460+813,0,8,3,0,,,,
172,1,10.188.68.172,root,,/mnt/r%/,K460+971,0,8,3,0,,,,
173,1,10.188.68.173,root,,/mnt/r%/,K461+156,0,8,3,0,,,,
